account.length,area.code,international.plan,voice.mail.plan,number.vmail.messages,total.day.minutes,total.day.calls,total.eve.minutes,total.eve.calls,total.night.minutes,total.night.calls,total.intl.minutes,total.intl.calls,number.customer.service.calls,Status,avg.minute.day,avg.minute.eve,avg.minute.night,avg.minute.intl
36,510,no,yes,29,281.4,102,202.2,76,187.2,113,9,6,2,False,2.75882352941176,2.66052631578947,1.65663716814159,1.5
93,510,no,yes,21,117.9,131,164.5,115,217,86,9.8,3,1,False,0.9,1.4304347826087,2.52325581395349,3.26666666666667
120,408,no,no,0,165,100,317.2,83,119.2,86,8.3,8,1,False,1.65,3.82168674698795,1.38604651162791,1.0375
103,415,no,no,0,185,117,223.3,94,222.8,91,12.6,2,2,False,1.58119658119658,2.37553191489362,2.44835164835165,6.3
98,408,no,no,0,161,117,190.9,113,227.7,113,12.1,4,4,False,1.37606837606838,1.68938053097345,2.01504424778761,3.025
125,408,no,no,0,126.7,108,206,90,247.8,114,13.3,7,1,False,1.17314814814815,2.28888888888889,2.17368421052632,1.9
63,415,no,no,0,58.9,125,169.6,59,211.4,88,9.4,3,1,False,0.4712,2.87457627118644,2.40227272727273,3.13333333333333
36,510,yes,yes,42,196.8,89,254.9,122,138.3,126,20,6,0,True,2.21123595505618,2.08934426229508,1.09761904761905,3.33333333333333
74,415,no,no,0,282.5,114,219.9,48,170,115,9.4,4,1,True,2.4780701754386,4.58125,1.47826086956522,2.35
112,510,no,yes,36,113.7,117,157.5,82,177.6,118,10,3,2,False,0.971794871794872,1.92073170731707,1.50508474576271,3.33333333333333
97,408,no,no,0,239.8,125,214.8,111,143.3,81,8.7,5,2,False,1.9184,1.93513513513514,1.76913580246914,1.74
46,408,no,no,0,210.2,92,227.3,77,200.1,116,13.1,7,1,False,2.28478260869565,2.95194805194805,1.725,1.87142857142857
121,510,no,no,0,190.7,103,183.5,117,220.8,103,9.8,4,3,False,1.85145631067961,1.56837606837607,2.14368932038835,2.45
130,510,no,no,0,154.2,119,110.2,98,227.4,117,9.2,5,2,False,1.29579831932773,1.12448979591837,1.94358974358974,1.84
85,408,no,no,0,201.4,52,229.4,104,252.5,106,12,3,1,False,3.87307692307692,2.20576923076923,2.38207547169811,4
162,415,no,no,0,70.7,108,157.5,87,154.8,82,9.1,3,4,True,0.65462962962963,1.81034482758621,1.88780487804878,3.03333333333333
61,510,no,yes,27,187.5,124,146.6,103,225.7,129,6.4,6,4,True,1.51209677419355,1.42330097087379,1.74961240310078,1.06666666666667
92,408,no,no,0,91.7,90,193.7,123,175,86,9.2,4,2,False,1.01888888888889,1.57479674796748,2.03488372093023,2.3
131,408,no,yes,36,214.2,115,161.7,117,264.7,102,9.5,4,3,False,1.86260869565217,1.38205128205128,2.59509803921569,2.375
90,415,no,no,0,145.5,92,217.7,114,146.9,123,10.9,2,3,False,1.58152173913043,1.90964912280702,1.19430894308943,5.45
75,408,no,no,0,166.3,125,158.2,86,256.7,80,6.1,5,1,False,1.3304,1.83953488372093,3.20875,1.22
82,408,no,no,0,200.3,96,201.2,102,206.1,60,7.1,1,4,False,2.08645833333333,1.97254901960784,3.435,7.1
163,408,no,no,0,197,109,202.6,128,206.4,80,9.1,10,1,False,1.80733944954128,1.5828125,2.58,0.91
91,510,yes,no,0,129.9,112,173.3,83,247.2,130,11.2,3,3,False,1.15982142857143,2.08795180722892,1.90153846153846,3.73333333333333
91,510,no,no,0,203.1,106,210.1,113,195.6,129,12,3,3,False,1.91603773584906,1.85929203539823,1.51627906976744,4
113,415,no,yes,23,205,101,152,60,158.6,59,10.2,5,2,False,2.02970297029703,2.53333333333333,2.68813559322034,2.04
120,415,no,yes,39,200.3,68,220.4,97,253.8,116,10.5,4,0,False,2.94558823529412,2.27216494845361,2.18793103448276,2.625
157,415,no,yes,28,192.6,107,195.5,74,109.7,139,6.8,5,3,False,1.8,2.64189189189189,0.789208633093525,1.36
117,408,yes,no,0,167.1,86,177.5,87,249.4,132,14.1,7,2,True,1.94302325581395,2.04022988505747,1.88939393939394,2.01428571428571
127,408,no,no,0,146.7,91,203.5,78,203.4,110,13.7,3,1,False,1.61208791208791,2.60897435897436,1.84909090909091,4.56666666666667
83,408,yes,no,0,271.5,87,216.3,126,121.1,105,11.7,4,1,False,3.12068965517241,1.71666666666667,1.15333333333333,2.925
121,408,no,no,0,181.5,121,218.4,98,161.6,103,8.5,5,1,False,1.5,2.22857142857143,1.56893203883495,1.7
145,408,no,yes,43,257.7,97,162.1,95,286.9,86,11.1,4,2,False,2.65670103092783,1.70631578947368,3.33604651162791,2.775
113,408,no,no,0,193.8,99,221.4,125,172.3,67,10.6,6,1,False,1.95757575757576,1.7712,2.57164179104478,1.76666666666667
117,415,no,no,0,102.8,119,206.7,91,299,105,10.1,7,1,False,0.863865546218487,2.27142857142857,2.84761904761905,1.44285714285714
96,415,no,no,0,260.4,115,146,46,269.5,87,11.5,4,5,False,2.26434782608696,3.17391304347826,3.09770114942529,2.875
151,408,no,no,0,178.7,116,292.1,138,265.9,101,9.8,4,0,False,1.54051724137931,2.11666666666667,2.63267326732673,2.45
139,510,no,yes,23,157.6,129,247,96,259.2,112,13.7,2,0,False,1.22170542635659,2.57291666666667,2.31428571428571,6.85
6,510,no,no,0,183.6,117,256.7,72,178.6,79,10.2,2,1,False,1.56923076923077,3.56527777777778,2.26075949367089,5.1
115,510,no,yes,24,142.1,124,183.4,129,164.8,114,9.6,4,1,False,1.14596774193548,1.42170542635659,1.44561403508772,2.4
141,415,no,no,0,217.1,110,241.5,111,253.5,103,12,6,0,False,1.97363636363636,2.17567567567568,2.46116504854369,2
141,510,no,yes,36,187.5,99,241.4,116,229.5,105,10.5,5,3,False,1.89393939393939,2.08103448275862,2.18571428571429,2.1
62,415,no,no,0,98.9,103,135.4,122,236.6,82,12.2,1,1,False,0.960194174757282,1.10983606557377,2.88536585365854,12.2
146,415,no,no,0,206.3,151,148.6,89,167.2,91,6.1,3,1,False,1.36622516556291,1.66966292134831,1.83736263736264,2.03333333333333
92,415,no,yes,33,243.1,92,213.8,92,228.7,104,12.1,2,2,False,2.64239130434783,2.32391304347826,2.19903846153846,6.05
185,510,no,yes,31,189.8,126,163.3,133,264.8,126,7.5,3,1,False,1.50634920634921,1.22781954887218,2.1015873015873,2.5
64,408,no,yes,27,182.1,91,169.7,98,164.7,86,10.6,5,2,False,2.0010989010989,1.73163265306122,1.91511627906977,2.12
25,415,no,no,0,119.3,87,211.5,101,268.9,86,10.5,4,3,False,1.37126436781609,2.09405940594059,3.12674418604651,2.625
65,415,no,no,0,116.8,87,178.9,93,182.4,150,14.1,2,1,False,1.34252873563218,1.92365591397849,1.216,7.05
179,408,no,no,0,219.2,92,149.4,125,244.7,104,6.1,5,0,False,2.38260869565217,1.1952,2.35288461538462,1.22
94,415,no,no,0,252.6,104,169,125,170.9,106,11.1,7,2,False,2.42884615384615,1.352,1.6122641509434,1.58571428571429
127,415,no,no,0,202.1,103,229.4,86,195.2,113,11.5,3,2,False,1.9621359223301,2.66744186046512,1.72743362831858,3.83333333333333
116,408,no,no,0,173.5,93,194.1,76,208,112,16.2,10,3,False,1.86559139784946,2.55394736842105,1.85714285714286,1.62
70,408,no,no,0,232.1,122,292.3,112,201.2,112,0,0,3,False,1.90245901639344,2.60982142857143,1.79642857142857,0
126,415,no,no,0,58.2,94,138.7,118,136.8,91,11.9,1,5,True,0.619148936170213,1.17542372881356,1.5032967032967,11.9
19,408,no,no,0,186.1,98,254.3,57,214,127,14.6,7,2,False,1.89897959183673,4.46140350877193,1.68503937007874,2.08571428571429
73,415,no,no,0,214.3,145,268.5,135,241.2,92,10.8,13,1,False,1.47793103448276,1.98888888888889,2.62173913043478,0.830769230769231
106,408,no,no,0,158.7,74,64.3,139,198.5,103,10.2,4,1,False,2.14459459459459,0.462589928057554,1.92718446601942,2.55
93,415,no,no,0,271.6,71,229.4,108,77.3,121,10.9,3,2,False,3.82535211267606,2.12407407407407,0.638842975206612,3.63333333333333
164,510,no,no,0,160.6,111,163.2,126,187.1,112,9,3,1,False,1.44684684684685,1.2952380952381,1.67053571428571,3
51,408,no,no,0,232.4,109,187.4,95,231.2,107,9.1,3,1,False,2.13211009174312,1.97263157894737,2.1607476635514,3.03333333333333
130,415,no,no,0,176.9,109,90.7,104,238,69,9.5,2,1,False,1.62293577981651,0.872115384615385,3.44927536231884,4.75
80,408,no,no,0,209.9,74,195.1,77,208.2,119,8.8,4,2,False,2.83648648648649,2.53376623376623,1.74957983193277,2.2
117,415,no,yes,23,198.1,86,177,86,180.5,92,6.8,6,1,False,2.30348837209302,2.05813953488372,1.96195652173913,1.13333333333333
78,415,no,no,0,149.7,119,182.2,115,261.5,126,9.7,8,0,False,1.25798319327731,1.58434782608696,2.07539682539683,1.2125
131,510,yes,yes,26,292.9,101,199.7,97,255.3,127,13.8,7,4,True,2.9,2.05876288659794,2.01023622047244,1.97142857142857
62,408,no,no,0,182.3,101,328.2,93,245,131,11.2,1,2,False,1.8049504950495,3.52903225806452,1.87022900763359,11.2
97,415,no,no,0,218,86,184,94,240.5,110,6.4,8,3,False,2.53488372093023,1.95744680851064,2.18636363636364,0.8
105,510,no,no,0,140.6,109,178.6,51,217,83,6.8,3,2,False,1.28990825688073,3.50196078431373,2.6144578313253,2.26666666666667
157,415,no,no,0,152.7,105,257.5,80,198.1,93,9.4,4,1,False,1.45428571428571,3.21875,2.13010752688172,2.35
122,415,no,no,0,243.8,98,83.9,72,179.8,84,13.7,8,2,False,2.48775510204082,1.16527777777778,2.14047619047619,1.7125
38,415,no,no,0,194.4,94,186.7,95,223.3,90,10.8,5,3,False,2.06808510638298,1.96526315789474,2.48111111111111,2.16
106,510,no,no,0,213.9,95,151.9,70,260.1,124,12.2,5,3,False,2.25157894736842,2.17,2.09758064516129,2.44
99,510,no,no,0,217.2,112,246.7,89,226.1,89,15.8,7,3,False,1.93928571428571,2.77191011235955,2.54044943820225,2.25714285714286
99,415,no,no,0,241.1,72,155.6,98,188.2,109,11.6,10,1,False,3.34861111111111,1.58775510204082,1.72660550458716,1.16
82,415,no,yes,24,155.2,131,244.5,106,122.4,68,10.7,3,1,False,1.18473282442748,2.30660377358491,1.8,3.56666666666667
86,408,no,yes,31,167.6,139,113,118,246.9,121,12.2,6,1,False,1.20575539568345,0.957627118644068,2.0404958677686,2.03333333333333
70,510,yes,no,0,226.7,98,228.1,115,73.2,93,17.6,4,2,True,2.31326530612245,1.98347826086957,0.787096774193548,4.4
93,415,no,no,0,179.3,93,178.6,98,225.2,131,11.5,6,3,False,1.92795698924731,1.82244897959184,1.71908396946565,1.91666666666667
93,415,no,no,0,151.4,89,186.4,76,172.5,120,10.9,3,0,False,1.70112359550562,2.45263157894737,1.4375,3.63333333333333
120,415,no,no,0,180,80,224.2,82,265.4,91,4.7,7,3,False,2.25,2.73414634146341,2.91648351648352,0.671428571428571
136,415,no,no,0,250.2,121,267.1,118,151,114,13,2,1,True,2.06776859504132,2.2635593220339,1.32456140350877,6.5
81,415,no,no,0,183.6,116,152.6,98,212.2,99,12.2,6,3,False,1.58275862068966,1.55714285714286,2.14343434343434,2.03333333333333
127,408,no,yes,22,166,114,174.5,103,244.9,68,10.2,6,1,False,1.45614035087719,1.69417475728155,3.60147058823529,1.7
65,415,no,no,0,136.1,112,272.9,96,220.2,104,4.4,2,1,False,1.21517857142857,2.84270833333333,2.11730769230769,2.2
65,415,no,no,0,213.4,111,234.5,94,250.1,123,2.7,4,1,False,1.92252252252252,2.49468085106383,2.03333333333333,0.675
123,415,no,no,0,206.9,85,244.7,78,221.5,136,7.7,2,3,False,2.43411764705882,3.13717948717949,1.62867647058824,3.85
126,408,no,yes,27,186.2,78,189.6,83,76.5,139,9.6,3,2,False,2.38717948717949,2.28433734939759,0.550359712230216,3.2
45,415,no,yes,22,196.6,84,313.2,92,163.3,108,11.9,3,0,False,2.34047619047619,3.40434782608696,1.51203703703704,3.96666666666667
63,415,yes,yes,36,199,110,291.3,111,197.6,92,11,6,1,False,1.80909090909091,2.62432432432432,2.14782608695652,1.83333333333333
100,415,no,no,0,203.1,96,217,126,180.9,122,13.5,2,3,False,2.115625,1.72222222222222,1.4827868852459,6.75
53,415,no,no,0,168.8,97,220.3,87,154.3,113,10.9,2,0,False,1.74020618556701,2.53218390804598,1.36548672566372,5.45
92,415,yes,no,0,173.1,140,240.3,105,233.2,117,9,5,1,False,1.23642857142857,2.28857142857143,1.99316239316239,1.8
139,510,no,no,0,134.4,106,211.3,98,193.6,125,10.2,2,5,True,1.26792452830189,2.15612244897959,1.5488,5.1
110,408,no,yes,40,202.6,103,118.8,128,234.9,98,9,9,2,False,1.96699029126214,0.928125,2.3969387755102,1
110,408,no,no,0,74.5,117,200.8,98,192.2,101,9.8,7,3,False,0.636752136752137,2.04897959183673,1.9029702970297,1.4
215,510,no,no,0,83.6,148,120.9,91,226.6,110,10.7,9,0,False,0.564864864864865,1.32857142857143,2.06,1.18888888888889
73,415,no,no,0,192.2,86,168.6,116,139.8,87,9.4,6,1,False,2.23488372093023,1.45344827586207,1.60689655172414,1.56666666666667
138,510,no,no,0,220.2,89,88.3,125,195.3,79,12.9,5,0,False,2.47415730337079,0.7064,2.47215189873418,2.58
137,415,yes,no,0,135.1,95,134.1,102,223.1,81,12.3,2,2,True,1.42210526315789,1.31470588235294,2.75432098765432,6.15
85,408,no,no,0,225,81,176.9,63,194.3,110,7.1,2,3,False,2.77777777777778,2.80793650793651,1.76636363636364,3.55
22,408,no,no,0,110.3,107,166.5,93,202.3,96,9.5,5,0,False,1.03084112149533,1.79032258064516,2.10729166666667,1.9
107,415,no,yes,37,60,102,102.2,80,261.8,106,11.1,3,0,False,0.588235294117647,1.2775,2.46981132075472,3.7
94,408,no,no,0,181.8,85,202.4,98,245.9,97,9.2,2,4,False,2.13882352941177,2.06530612244898,2.53505154639175,4.6
119,510,no,yes,23,154,114,278,137,228.4,112,11.8,4,2,False,1.35087719298246,2.02919708029197,2.03928571428571,2.95
33,415,no,yes,29,157.4,99,117.9,80,279.2,79,13.9,11,4,True,1.58989898989899,1.47375,3.53417721518987,1.26363636363636
106,415,no,no,0,207.9,91,172,109,191.8,143,14.4,7,4,False,2.28461538461538,1.57798165137615,1.34125874125874,2.05714285714286
86,510,no,yes,41,119,101,230,134,236.9,58,9.5,3,0,False,1.17821782178218,1.71641791044776,4.08448275862069,3.16666666666667
97,415,yes,no,0,143.7,117,273,82,178.3,81,10.9,3,0,False,1.22820512820513,3.32926829268293,2.20123456790123,3.63333333333333
106,408,no,yes,32,165.9,126,216.5,93,173.1,86,14.1,8,4,False,1.31666666666667,2.32795698924731,2.01279069767442,1.7625
108,510,no,no,0,138.6,122,172.3,117,231.6,92,9.8,3,1,False,1.13606557377049,1.47264957264957,2.51739130434783,3.26666666666667
59,510,no,no,0,155.2,79,235.3,123,169.4,80,8.7,4,1,False,1.96455696202532,1.9130081300813,2.1175,2.175
24,510,no,yes,25,164.9,110,209.3,105,231.2,55,6.7,9,1,False,1.49909090909091,1.99333333333333,4.20363636363636,0.744444444444444
151,408,no,no,0,134.5,88,143.1,112,223.9,61,15.4,1,1,False,1.52840909090909,1.27767857142857,3.67049180327869,15.4
117,415,no,no,0,143.3,103,211.3,108,185.2,96,11.5,3,1,False,1.39126213592233,1.95648148148148,1.92916666666667,3.83333333333333
78,510,no,no,0,168.3,110,221.2,73,241,136,12.5,1,1,False,1.53,3.03013698630137,1.77205882352941,12.5
155,408,no,no,0,262.4,55,194.6,113,146.5,85,8.3,6,2,False,4.77090909090909,1.72212389380531,1.72352941176471,1.38333333333333
114,510,no,yes,30,206.2,79,260,91,291.6,83,11.4,6,1,False,2.61012658227848,2.85714285714286,3.51325301204819,1.9
114,510,no,yes,28,225.8,94,193,117,232.4,100,8.4,9,4,False,2.40212765957447,1.64957264957265,2.324,0.933333333333333
119,408,no,no,0,138.3,89,170.5,78,263.9,98,13.5,6,3,False,1.55393258426966,2.18589743589744,2.69285714285714,2.25
64,510,no,yes,48,94.4,104,136.2,101,147.4,89,4.5,4,0,False,0.907692307692308,1.34851485148515,1.6561797752809,1.125
118,408,yes,no,0,160,123,175.4,96,184.8,99,9.9,3,2,False,1.30081300813008,1.82708333333333,1.86666666666667,3.3
101,415,no,no,0,206.6,105,224.9,117,249.9,100,14.6,3,0,False,1.96761904761905,1.92222222222222,2.499,4.86666666666667
117,415,no,no,0,134.7,121,180,83,200.9,104,7.7,3,1,False,1.11322314049587,2.16867469879518,1.93173076923077,2.56666666666667
139,415,no,no,0,192.8,104,234.4,96,203.2,101,13,3,3,False,1.85384615384615,2.44166666666667,2.01188118811881,4.33333333333333
92,408,no,yes,28,151.1,90,194.8,79,239.2,114,10,3,1,False,1.67888888888889,2.46582278481013,2.09824561403509,3.33333333333333
144,408,no,yes,48,189.8,96,123.4,67,214.2,106,6.5,2,2,True,1.97708333333333,1.84179104477612,2.02075471698113,3.25
146,510,yes,no,0,204.4,135,219.1,90,222.7,114,10.5,6,3,False,1.51407407407407,2.43444444444444,1.95350877192982,1.75
48,415,no,yes,37,211.7,115,159.9,84,144.1,80,12.2,1,1,False,1.84086956521739,1.90357142857143,1.80125,12.2
86,415,no,yes,28,221.6,74,288.4,100,240.3,105,9,2,1,False,2.99459459459459,2.884,2.28857142857143,4.5
71,415,no,no,0,197.9,108,181.5,109,281.4,56,6.7,5,3,False,1.83240740740741,1.6651376146789,5.025,1.34
